brand,name,bodyType,color,fuelType,year,mileage,transmission,power,price,vehicleConfiguration,engineName,engineDisplacement,date,location,link,description,parse_date
Лада,1111 Ока,Хэтчбек 3 дв.,Фиолетовый,Бензин,1996.0,37000.0,Механика,33.0,95000,0.6 MT 11113,ВАЗ-11113,0.7 LTR,2023-04-02 00:00:00,Майкоп,https://maykop.drom.ru/lada/oka/50378140.html,"Ваз Ока Год: 2003 Цвет: Баклажан, в ПТС так и записан Завод изготовитель: Камаз Окушка в отличном состоянии, кузов ровный, без гнили, максимум где то жучки без дыр, в родной краске, не полировался даже, все подкрылки на месте. Днище мовилено. Стекла опускаются легко, двери закрываются хорошо. По электрике все работает, все светит, дальний свет отличный, печка дует, жарит и плавит кости. Ходовая в норме, тормоза в норме, коробка не выбивает, не хрустит. Мотор откапиталенный, по уму, делал для себя. Все прокладочки, резиночки заменены, притирка клапанов, шлифовка гбц, колена и т д. Прошел меньше 100км. Салон не убитый, весь пластик на месте, даже полка багажника есть. Стоит сигнализация, камера заднего вида. Музыки нет, снял. СТС, ПТС, все документы на руках. Залогов, арестов, штрафов нет, юридически чистая. Машина сел и поехал, без вложений. В машине уверен. Из минусов, резина уже подходит, подстроить карбюратор. Обмен не интересует. Машина местная на 01 номерах. Осмотр в Гавердовском.",2023-05-02 20:00:00
Toyota,Funcargo,Хэтчбек 5 дв.,Серебристый,Бензин,2002.0,295000.0,АКПП,87.0,380000,1.3 J,2NZ-FE,1.3 LTR,2023-04-02 00:00:00,Майкоп,https://maykop.drom.ru/toyota/funcargo/50377515.html,ХОРОШЕЕ СОСТОЯНИЕ. замена комплекта грм и помпа пару тысяч километров назад. передние стойки с опорными подшипниками.рулевые наконечники и тяги. ремонт рулевой рейки. колодки в круг. проставки под пружины 20мм в круг. резина зима 1 сезон и пара лето. главное не забывайте что машине 20 лет не надо ее расматривать как новую. обмен на минивен равноценый.,2023-05-02 20:00:00
Лада,Гранта,Лифтбек,Серый,Бензин,2018.0,16000.0,Механика,106.0,795000,1.6 MT Comfort,ВАЗ-21127,1.6 LTR,2023-04-02 00:00:00,Майкоп,https://maykop.drom.ru/lada/granta/50382492.html,"Автомобиль в отличном техническом состоянии, не бит, не крашен. Комплектация : кондиционер, штатная мультимедиа, АБС, подогрев передних сидений, сигнализация с автозапуском.",2023-05-02 23:00:00
Chevrolet,Niva,Джип 5 дв.,Зеленый,Бензин,2002.0,220000.0,Механика,80.0,450000,1.7 MT L,ВАЗ-2123,1.7 LTR,2023-04-03 00:00:00,Майкоп,https://maykop.drom.ru/chevrolet/niva/50388675.html,Продам шевика в хорошем состоянии. Гнили нет от слова совсем. Коробка после капиталки. Установленно новое сцепление. Масла везде поменяны. Раздатка не воет. Двигатель тянет. Сигнализация с авто запуском. Машина стоит своих денег. Торг возможен только у капота.,2023-05-02 00:00:00
Лада,2114 Самара,Хэтчбек 5 дв.,Черный,Бензин,2007.0,185000.0,Механика,81.0,120000,1.6 MT 21144-22-010,ВАЗ-11183,1.6 LTR,2023-04-03 00:00:00,Майкоп,https://maykop.drom.ru/lada/2114/50386623.html,"в хорошем состоянии.гнили нет,много чего нового.Машина в Майкопе. без торга.",2023-05-03 06:00:00
Toyota,Land Cruiser Prado,Джип 5 дв.,Черный,Бензин,2020.0,17000.0,АКПП,249.0,5990000,4.0 AT Элеганс Плюс,1GR-FE,4.0 LTR,2023-04-03 00:00:00,Майкоп,https://maykop.drom.ru/toyota/land_cruiser_prado/50392140.html,"Автомобиль как новый, отличное состояние",2023-05-02 10:00:00
Nissan,Qashqai,Джип 5 дв.,Серый,Бензин,2020.0,26000.0,Вариатор,144.0,2730000,2.0 CVT SE Яндекс.Авто,MR20DD,2.0 LTR,2023-04-03 00:00:00,Яблоновский,https://yablonovskiy.drom.ru/nissan/qashqai/50387973.html,"Состояние нового автомобиля. Шумоизоляция + покрытие днища автомобиля антикором. Передняя часть заклеена в бронепленку + пороги, под ручками дверей, зона погрузки в багажник. Масло менялось каждые 7000 км. Своевременное обслуживание. Пройдены все ТО. Не участвовала в ДТП. Сервисная книжка. Непрокуренный салон. Два комплекта резины. Сигнализация SHER-KHAN, сим карта в ГУ. Два комплекта ключей. Торг у капота.",2023-05-03 06:00:00
Лада,Приора,Хэтчбек 5 дв.,Черный,Бензин,2008.0,305000.0,Механика,81.0,165000,1.6 MT Стандарт 21722-00-010,ВАЗ-21114,1.6 LTR,2023-04-03 00:00:00,Майкоп,https://maykop.drom.ru/lada/priora/50392680.html,"Продам приору ,стоит пропан не оформленный,ева коврики ,центральный замок ,коробка отлично ,по кузову не без косяков и по днище тоже ,ТОРГ ТОЛЬКО ВОЗЛЕ МАШИНЫ ,ПО СМС НЕ ТОРГУЮСЬ ,ОБМЕНА НЕТУ НИ НА ЧТО ,только продажа,кондиционера нет ,комплектация стандарт.",2023-05-02 10:00:00
Лада,Калина,Хэтчбек 5 дв.,Синий,Бензин,2006.0,190000.0,Механика,80.0,220000,1.6 MT Норма 11193-30-040,ВАЗ-11183,1.6 LTR,2023-04-03 00:00:00,Майкоп,https://maykop.drom.ru/lada/kalina/50394317.html,В хорошем состоянии,2023-05-02 10:00:00
Лада,Приора,Седан,Черный,Бензин,2007.0,240000.0,Механика,98.0,300000,1.6 MT Люкс 21703-03-033,ВАЗ-21126,1.6 LTR,2023-04-04 00:00:00,Майкоп,https://maykop.drom.ru/lada/priora/50401518.html,"Требует сварочных работ , комплектация кондиционер +abs,технически исправна на полном ходу торг",2023-05-02 12:00:00
